Fecha;Posicion;Interes Abierto
2021-04-29;2021-09-30;130052
2021-04-29;2021-10-31;128135
2021-04-29;2021-11-30;157989
2021-04-29;2021-12-31;112854
2021-04-29;2022-01-31;17619
2021-04-28;2021-08-31;146543
2021-04-28;2021-09-30;108594
2021-04-28;2021-10-31;145683
2021-04-28;2021-11-30;147753
2021-04-28;2021-12-31;98850
2021-04-28;2022-01-31;12713
2021-04-27;2021-08-31;139406
2021-04-27;2021-09-30;103019
2021-04-27;2021-10-31;124248
2021-04-27;2021-11-30;145968
2021-04-27;2021-12-31;98831
2021-04-27;2022-01-31;12713
2021-04-26;2021-08-31;137414
2021-04-26;2021-09-30;106074
2021-04-26;2021-10-31;95454
2021-04-26;2021-11-30;143279
2021-04-26;2021-12-31;91565
2021-04-26;2022-01-31;12713
2021-04-23;2021-08-31;136301
2021-04-23;2021-09-30;104044
2021-04-23;2021-10-31;58630
2021-04-23;2021-11-30;141555
2021-04-23;2021-12-31;89514
2021-04-23;2022-01-31;12713
2021-04-22;2021-08-31;138515
2021-04-22;2021-09-30;98513
2021-04-22;2021-10-31;53847
2021-04-22;2021-11-30;137647
2021-04-22;2021-12-31;89420
2021-04-22;2022-01-31;12708
2021-04-21;2021-08-31;145074
2021-04-21;2021-09-30;103930
2021-04-21;2021-10-31;48768
2021-04-21;2021-11-30;136632
2021-04-21;2021-12-31;84935
2021-04-21;2022-01-31;17708
2021-04-20;2021-08-31;134583
2021-04-20;2021-09-30;100908
2021-04-20;2021-10-31;48869
2021-04-20;2021-11-30;135019
2021-04-20;2021-12-31;75225
2021-04-20;2022-01-31;16708
2021-04-19;2021-08-31;110112
2021-04-19;2021-09-30;100730
2021-04-19;2021-10-31;48815
2021-04-19;2021-11-30;125773
2021-04-19;2021-12-31;59737
2021-04-19;2022-01-31;16604
2021-04-16;2021-08-31;110111
2021-04-16;2021-09-30;90114
2021-04-16;2021-10-31;47815
2021-04-16;2021-11-30;121877
2021-04-16;2021-12-31;63737
2021-04-16;2022-01-31;15554
2021-04-15;2021-08-31;110650
2021-04-15;2021-09-30;84614
2021-04-15;2021-10-31;47221
2021-04-15;2021-11-30;119493
2021-04-15;2021-12-31;62980
2021-04-15;2022-01-31;15554
2021-04-14;2021-08-31;109459
2021-04-14;2021-09-30;90193
2021-04-14;2021-10-31;47216
2021-04-14;2021-11-30;115462
2021-04-14;2021-12-31;62781
2021-04-14;2022-01-31;21246
2021-04-13;2021-08-31;108406
2021-04-13;2021-09-30;79547
2021-04-13;2021-10-31;47340
2021-04-13;2021-11-30;114842
2021-04-13;2021-12-31;61159
2021-04-13;2022-01-31;21246
2021-04-12;2021-08-31;109667
2021-04-12;2021-09-30;78057
2021-04-12;2021-10-31;47440
2021-04-12;2021-11-30;110783
2021-04-12;2021-12-31;58959
2021-04-12;2022-01-31;21246
2021-04-09;2021-08-31;106272
2021-04-09;2021-09-30;76853
2021-04-09;2021-10-31;47078
2021-04-09;2021-11-30;106741
2021-04-09;2021-12-31;58841
2021-04-09;2022-01-31;21246
2021-04-08;2021-08-31;111355
2021-04-08;2021-09-30;70853
2021-04-08;2021-10-31;45946
2021-04-08;2021-11-30;105392
2021-04-08;2021-12-31;53970
2021-04-08;2022-01-31;17244
2021-04-07;2021-08-31;117047
2021-04-07;2021-09-30;70848
2021-04-07;2021-10-31;45562
2021-04-07;2021-11-30;100242
2021-04-07;2021-12-31;50228
2021-04-07;2022-01-31;16943
2021-04-06;2021-08-31;117812
2021-04-06;2021-09-30;70757
2021-04-06;2021-10-31;44095
2021-04-06;2021-11-30;96995
2021-04-06;2021-12-31;49238
2021-04-06;2022-01-31;16863
2021-04-05;2021-08-31;116661
2021-04-05;2021-09-30;70456
2021-04-05;2021-10-31;44098
2021-04-05;2021-11-30;97175
2021-04-05;2021-12-31;49238
2021-04-05;2022-01-31;16863
2021-03-31;2021-08-31;116351
2021-03-31;2021-09-30;70433
2021-03-31;2021-10-31;44098
2021-03-31;2021-11-30;88870
2021-03-31;2021-12-31;48238
2021-03-31;2022-01-31;16863
2021-03-30;2021-08-31;117780
2021-03-30;2021-09-30;75223
2021-03-30;2021-10-31;39623
2021-03-30;2021-11-30;91321
2021-03-30;2021-12-31;45670
2021-03-30;2022-01-31;11521
2021-03-29;2021-08-31;121154
2021-03-29;2021-09-30;69424
2021-03-29;2021-10-31;34362
2021-03-29;2021-11-30;86551
2021-03-29;2021-12-31;43543
2021-03-29;2022-01-31;11521
2021-03-26;2021-08-31;115687
2021-03-26;2021-09-30;69771
2021-03-26;2021-10-31;32365
2021-03-26;2021-11-30;83400
2021-03-26;2021-12-31;38379
2021-03-26;2022-01-31;6192
2021-03-25;2021-08-31;114297
2021-03-25;2021-09-30;70771
2021-03-25;2021-10-31;34894
2021-03-25;2021-11-30;82109
2021-03-25;2021-12-31;41048
2021-03-25;2022-01-31;9521
2021-03-23;2021-08-31;117485
2021-03-23;2021-09-30;72617
2021-03-23;2021-10-31;35868
2021-03-23;2021-11-30;81058
2021-03-23;2021-12-31;41048
2021-03-23;2022-01-31;9521
2021-03-22;2021-08-31;107395
2021-03-22;2021-09-30;71567
2021-03-22;2021-10-31;35609
