"Fecha","Total","Personales","Tarjetas","Adelantos","Hipotecarios","Prendarios","Otros","Documentos"
2018-09-27,15906,7,288,390,307,386,1638,12890
2018-09-28,15932,7,286,423,307,379,1634,12896
2018-10-01,15844,7,274,421,306,389,1635,12812
2018-10-02,15815,7,264,418,307,404,1630,12785
2018-10-03,15809,7,263,421,306,404,1629,12779
2018-10-04,15805,7,265,421,307,401,1633,12771
2018-10-05,15832,7,268,422,307,433,1633,12762
2018-10-08,15827,7,265,420,312,436,1632,12755
2018-10-09,15785,7,263,420,313,438,1626,12718
2018-10-10,15763,7,251,425,334,443,1625,12678
2018-10-11,15813,7,251,423,338,446,1624,12724
2018-10-12,15786,7,248,427,340,452,1625,12687
2018-10-16,15769,7,257,426,340,442,1619,12678
2018-10-17,15756,7,278,424,340,443,1616,12648
2018-10-18,15788,7,287,424,340,443,1623,12664
2018-10-19,15879,7,296,424,340,477,1617,12718
2018-10-22,15788,7,301,433,340,443,1626,12638
2018-10-23,15758,7,315,393,340,441,1613,12649
2018-10-24,15700,7,326,389,341,443,1599,12595
2018-10-25,15725,7,321,406,341,443,1603,12604
2018-10-26,15749,7,328,407,341,444,1614,12608
2018-10-29,15737,7,311,406,341,432,1612,12628
2018-10-30,15642,7,330,403,341,402,1618,12541
2018-10-31,15554,7,332,403,341,403,1578,12490
2018-11-01,15552,7,325,406,342,424,1615,12433
2018-11-02,15554,7,331,407,342,426,1614,12427
2018-11-05,15535,7,307,404,341,426,1611,12439
2018-11-07,15496,7,305,404,342,424,1610,12404
2018-11-08,15520,7,299,402,342,426,1621,12423
2018-11-09,15514,7,298,403,342,427,1622,12415
2018-11-12,15483,7,285,403,344,427,1626,12391
2018-11-13,15499,7,276,404,344,422,1627,12419
2018-11-14,15492,7,265,403,343,416,1629,12429
2018-11-15,15526,7,255,401,343,416,1644,12460
2018-11-16,15574,7,249,399,346,428,1640,12505
2018-11-20,15547,7,255,398,346,415,1626,12500
2018-11-21,15541,7,270,399,346,415,1600,12504
2018-11-22,15542,7,261,399,346,414,1605,12510
2018-11-23,15547,7,271,398,346,410,1599,12516
2018-11-26,15478,7,266,398,347,400,1597,12463
2018-11-27,15517,7,279,398,347,395,1599,12492
2018-11-28,15584,7,292,398,353,395,1610,12529
2018-11-29,15554,7,273,401,353,418,1604,12498
2018-12-03,15576,7,264,401,353,411,1632,12508
2018-12-04,15579,7,257,401,353,410,1629,12522
2018-12-05,15573,7,256,402,352,403,1627,12526
2018-12-06,15521,7,251,402,352,404,1624,12481
2018-12-07,15485,7,249,400,353,407,1616,12453
2018-12-10,15461,7,244,401,352,405,1615,12437
2018-12-11,15469,7,244,401,352,405,1613,12447
2018-12-12,15468,7,230,400,354,410,1603,12464
2018-12-13,15511,7,223,399,355,421,1624,12482
2018-12-14,15613,7,222,399,355,418,1606,12606
2018-12-17,15632,7,222,399,354,417,1650,12583
2018-12-18,15553,7,236,399,354,423,1650,12484
2018-12-19,15527,7,242,399,356,422,1650,12451
2018-12-20,15493,7,236,400,356,425,1646,12423
2018-12-21,15507,7,240,400,354,425,1647,12434
2018-12-26,15466,7,234,400,356,424,1633,12412
2018-12-27,15423,7,260,400,358,424,1640,12334
2018-12-28,15310,7,265,401,357,426,1571,12283
2019-01-02,15337,7,250,401,359,429,1629,12262
2019-01-03,15384,7,271,403,359,429,1638,12277
2019-01-04,15415,7,286,403,360,434,1628,12297
2019-01-07,15405,7,290,402,360,434,1624,12288
2019-01-08,15456,7,301,403,360,434,1624,12327
2019-01-09,15462,7,294,402,359,429,1663,12308
2019-01-10,15462,7,285,403,360,430,1672,12305
2019-01-11,15499,7,275,403,360,432,1673,12349
2019-01-14,15524,7,281,404,360,432,1668,12372
2019-01-15,15577,7,306,403,359,431,1666,12405
2019-01-16,15626,7,330,400,359,430,1667,12433
